ID,City,Price,Day,Room Type,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km)
132,Amsterdam,€ 270.43,Weekday,Private room,2,TRUE,1,0,10,98,1,2.47,0.33
133,Amsterdam,€ 798.63,Weekday,Entire home/apt,4,FALSE,1,0,8,87,2,0.22,0.26
134,Amsterdam,"€ 3,637.66",Weekday,Entire home/apt,4,FALSE,0,0,10,97,3,0.72,0.19
135,Amsterdam,€ 479.46,Weekday,Entire home/apt,3,FALSE,0,0,9,92,1,2.01,1.48
136,Amsterdam,€ 934.08,Weekday,Entire home/apt,2,TRUE,1,0,10,99,1,1.15,1.28
137,Amsterdam,€ 639.05,Weekday,Entire home/apt,4,FALSE,1,0,10,94,2,1.84,1.58
138,Amsterdam,"€ 1,474.94",Weekday,Private room,5,TRUE,1,0,10,99,2,1.09,1.21
139,Amsterdam,"€ 1,020.08",Weekday,Entire home/apt,4,TRUE,0,0,9,96,2,1.39,0.13
140,Amsterdam,"€ 1,192.09",Weekday,Entire home/apt,4,FALSE,0,0,10,98,2,0.71,0.90
141,Amsterdam,€ 798.63,Weekday,Entire home/apt,2,FALSE,0,0,10,99,1,3.42,1.17
142,Amsterdam,€ 854.40,Weekday,Entire home/apt,4,FALSE,0,0,10,98,3,3.39,0.86
143,Amsterdam,€ 614.44,Weekday,Private room,2,FALSE,1,0,8,78,1,3.68,0.63
144,Amsterdam,€ 283.79,Weekday,Private room,2,FALSE,0,0,9,92,1,1.19,0.77
145,Amsterdam,€ 870.11,Weekday,Entire home/apt,4,FALSE,0,0,10,98,3,3.77,1.53
146,Amsterdam,€ 180.21,Weekday,Private room,2,FALSE,1,0,9,90,1,2.20,1.89
147,Amsterdam,€ 242.07,Weekday,Private room,2,TRUE,0,0,10,97,1,8.28,0.60
148,Amsterdam,€ 418.06,Weekday,Private room,4,FALSE,1,0,9,91,1,3.75,2.48
149,Amsterdam,€ 281.44,Weekday,Private room,2,FALSE,0,0,10,92,1,2.41,1.34
150,Amsterdam,€ 215.12,Weekday,Private room,2,FALSE,0,1,10,93,1,8.57,0.81
151,Amsterdam,€ 448.53,Weekday,Private room,2,FALSE,1,0,10,97,1,1.10,0.35
152,Amsterdam,€ 614.44,Weekday,Entire home/apt,2,FALSE,0,0,10,98,1,2.38,0.37
153,Amsterdam,€ 279.10,Weekday,Private room,2,FALSE,0,1,9,86,1,8.57,0.81
154,Amsterdam,€ 663.65,Weekday,Entire home/apt,2,FALSE,0,0,8,80,1,3.60,0.57
155,Amsterdam,€ 279.10,Weekday,Private room,2,FALSE,1,0,9,96,1,3.02,0.52
156,Amsterdam,"€ 1,044.69",Weekday,Entire home/apt,2,FALSE,0,0,10,100,1,0.76,0.74
157,Amsterdam,€ 299.72,Weekday,Private room,2,FALSE,1,0,9,93,1,4.14,2.84
158,Amsterdam,€ 405.64,Weekday,Entire home/apt,2,FALSE,1,0,10,89,1,3.64,0.44
159,Amsterdam,"€ 2,556.18",Weekday,Entire home/apt,6,TRUE,1,0,10,99,3,0.97,1.10
160,Amsterdam,€ 985.63,Weekday,Entire home/apt,2,FALSE,0,0,10,97,1,2.12,1.51
161,Amsterdam,"€ 1,214.12",Weekday,Entire home/apt,4,FALSE,0,0,9,93,0,1.94,1.57
162,Amsterdam,€ 305.81,Weekday,Private room,4,TRUE,0,0,10,96,1,3.71,0.22
163,Amsterdam,€ 937.60,Weekday,Private room,4,FALSE,0,1,9,92,1,1.01,0.54
164,Amsterdam,€ 292.46,Weekday,Private room,2,TRUE,0,0,9,87,1,4.72,0.73
165,Amsterdam,€ 552.81,Weekday,Entire home/apt,4,TRUE,1,0,10,99,1,4.46,0.41
166,Amsterdam,"€ 1,228.88",Weekday,Entire home/apt,4,FALSE,1,0,8,80,2,4.02,0.61
167,Amsterdam,€ 251.92,Weekday,Private room,2,FALSE,0,0,8,86,1,2.43,0.31
168,Amsterdam,€ 258.24,Weekday,Private room,2,FALSE,1,0,9,91,1,3.17,0.91
169,Amsterdam,€ 562.89,Weekday,Private room,4,FALSE,0,0,10,96,1,0.96,0.99
170,Amsterdam,€ 462.12,Weekday,Entire home/apt,2,FALSE,0,1,10,90,0,0.37,0.13
171,Amsterdam,€ 458.37,Weekday,Entire home/apt,2,TRUE,1,0,10,99,1,2.15,1.39
172,Amsterdam,€ 184.43,Weekday,Private room,2,TRUE,0,0,10,98,1,3.47,1.03
173,Amsterdam,€ 780.59,Weekday,Entire home/apt,4,FALSE,1,0,10,100,2,2.22,0.15
174,Amsterdam,€ 228.72,Weekday,Private room,2,FALSE,1,0,10,90,1,1.26,1.13
175,Amsterdam,€ 221.45,Weekday,Private room,2,TRUE,1,0,10,100,1,10.85,0.76
176,Amsterdam,€ 385.96,Weekday,Private room,2,FALSE,1,0,9,93,0,0.16,0.37
177,Amsterdam,€ 436.34,Weekday,Entire home/apt,3,FALSE,0,0,9,90,1,3.31,0.52
178,Amsterdam,€ 626.39,Weekday,Entire home/apt,4,TRUE,1,0,10,97,2,2.26,0.46
179,Amsterdam,€ 835.89,Weekday,Entire home/apt,2,FALSE,0,0,10,100,1,1.13,0.42
180,Amsterdam,€ 833.31,Weekday,Entire home/apt,4,FALSE,0,0,10,97,2,2.38,0.48
181,Amsterdam,€ 424.16,Weekday,Entire home/apt,2,FALSE,0,0,10,96,1,1.59,1.52
182,Amsterdam,€ 602.25,Weekday,Entire home/apt,4,FALSE,0,0,10,97,1,2.18,1.40
183,Amsterdam,"€ 1,425.73",Weekday,Entire home/apt,4,FALSE,0,0,9,95,2,0.69,0.61
184,Amsterdam,€ 737.23,Weekday,Entire home/apt,4,FALSE,0,0,10,97,3,1.53,1.25
185,Amsterdam,€ 397.21,Weekday,Entire home/apt,3,FALSE,1,0,9,91,1,6.38,2.45
186,Amsterdam,€ 290.11,Weekday,Private room,2,FALSE,0,0,9,91,1,2.29,0.29
187,Amsterdam,€ 221.22,Weekday,Private room,2,TRUE,1,0,9,95,1,2.47,1.50
188,Amsterdam,€ 245.82,Weekday,Private room,2,TRUE,1,0,10,98,1,6.05,1.67
189,Amsterdam,€ 196.61,Weekday,Private room,2,FALSE,1,0,8,87,1,10.45,0.33
190,Amsterdam,€ 258.01,Weekday,Private room,2,TRUE,1,0,10,100,1,4.60,0.50
191,Amsterdam,"€ 1,413.31",Weekday,Private room,4,FALSE,0,0,10,95,4,2.53,1.47
192,Amsterdam,€ 479.46,Weekday,Entire home/apt,2,FALSE,0,0,9,95,1,4.77,0.28
193,Amsterdam,€ 920.49,Weekday,Entire home/apt,4,TRUE,0,0,10,99,3,1.05,0.81
194,Amsterdam,€ 622.88,Weekday,Entire home/apt,2,TRUE,1,0,10,98,1,1.75,1.64
195,Amsterdam,€ 317.06,Weekday,Private room,2,FALSE,1,0,10,95,1,0.59,0.64
196,Amsterdam,€ 344.25,Weekday,Entire home/apt,3,FALSE,1,0,9,85,0,5.21,3.83
197,Amsterdam,€ 409.39,Weekday,Entire home/apt,4,FALSE,1,0,9,91,2,2.66,1.97
198,Amsterdam,€ 282.61,Weekday,Private room,2,FALSE,0,0,10,98,1,2.16,1.54
199,Amsterdam,€ 319.64,Weekday,Private room,2,FALSE,0,1,9,94,1,0.39,0.20
200,Amsterdam,€ 290.11,Weekday,Private room,2,FALSE,1,0,8,82,1,2.21,1.21
201,Amsterdam,€ 381.04,Weekday,Private room,2,FALSE,1,0,10,91,1,0.76,0.45
202,Amsterdam,€ 276.52,Weekday,Private room,2,TRUE,1,0,10,94,1,5.92,1.48
203,Amsterdam,€ 811.05,Weekday,Entire home/apt,2,FALSE,0,0,10,98,1,1.38,0.39
204,Amsterdam,"€ 1,106.32",Weekday,Entire home/apt,2,TRUE,0,0,10,99,1,1.02,0.86
205,Amsterdam,€ 435.17,Weekday,Entire home/apt,2,FALSE,1,0,10,93,1,2.53,0.34
206,Amsterdam,€ 381.04,Weekday,Private room,2,TRUE,0,0,10,98,1,1.23,0.37
207,Amsterdam,€ 513.67,Weekday,Entire home/apt,3,FALSE,0,0,10,100,2,3.11,1.89
208,Amsterdam,€ 309.80,Weekday,Private room,2,FALSE,0,1,10,93,1,2.37,1.86
209,Amsterdam,€ 516.02,Weekday,Entire home/apt,4,FALSE,0,0,9,91,2,1.20,0.98
210,Amsterdam,€ 614.44,Weekday,Private room,4,FALSE,0,0,10,92,1,1.37,0.11
211,Amsterdam,€ 737.23,Weekday,Entire home/apt,2,FALSE,0,0,8,80,1,2.45,0.63
212,Amsterdam,€ 685.91,Weekday,Entire home/apt,4,TRUE,0,0,10,98,2,2.86,0.58
213,Amsterdam,€ 823.47,Weekday,Entire home/apt,5,FALSE,0,0,10,95,2,3.50,1.72
214,Amsterdam,€ 307.22,Weekday,Entire home/apt,2,FALSE,0,0,9,94,1,2.89,1.77
215,Amsterdam,"€ 1,997.28",Weekday,Entire home/apt,6,FALSE,0,0,9,100,3,1.51,0.19
216,Amsterdam,€ 638.81,Weekday,Entire home/apt,2,FALSE,0,0,9,99,1,4.03,0.87
217,Amsterdam,"€ 1,136.55",Weekday,Entire home/apt,4,TRUE,0,0,10,97,3,3.20,0.54
218,Amsterdam,€ 405.64,Weekday,Private room,4,FALSE,0,0,10,90,1,11.19,0.42
219,Amsterdam,€ 400.49,Weekday,Private room,2,FALSE,0,1,10,94,0,0.83,0.45
220,Amsterdam,€ 307.22,Weekday,Private room,2,FALSE,1,0,10,99,1,2.24,0.23
221,Amsterdam,€ 688.02,Weekday,Private room,4,FALSE,0,0,10,100,2,1.28,1.20
222,Amsterdam,€ 648.89,Weekday,Entire home/apt,2,FALSE,0,0,10,100,1,1.59,1.51
