ID,City,Price,Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
30567,Rome, € 116.43 ,288.87,6.40,731.00,15.92
30568,Rome, € 167.16 ,303.37,6.72,781.96,17.03
30569,Rome, € 141.68 ,119.31,2.64,354.19,7.71
30570,Rome, € 201.76 ,616.00,13.65,1527.86,33.27
30571,Rome, € 216.73 ,405.85,8.99,839.90,18.29
30572,Rome, € 129.29 ,303.53,6.73,851.93,18.55
30573,Rome, € 346.01 ,375.38,8.32,919.40,20.02
30574,Rome, € 205.04 ,318.19,7.05,929.68,20.24
30575,Rome, € 87.44 ,430.31,9.54,1028.36,22.39
30576,Rome, € 124.61 ,579.57,12.84,2950.29,64.24
30577,Rome, € 126.72 ,362.65,8.04,792.83,17.26
30578,Rome, € 195.92 ,212.63,4.71,602.25,13.11
30579,Rome, € 178.62 ,645.10,14.30,1616.49,35.20
30580,Rome, € 495.64 ,325.22,7.21,896.75,19.52
30581,Rome, € 195.92 ,245.57,5.44,671.00,14.61
30582,Rome, € 105.91 ,209.54,4.64,636.63,13.86
30583,Rome, € 144.02 ,297.79,6.60,928.93,20.23
30584,Rome, € 285.93 ,1722.59,38.17,2409.17,52.45
30585,Rome, € 115.49 ,784.56,17.39,1303.86,28.39
30586,Rome, € 138.41 ,633.42,14.04,1061.05,23.10
30587,Rome, € 253.66 ,264.82,5.87,637.60,13.88
30588,Rome, € 225.84 ,343.96,7.62,880.94,19.18
30589,Rome, € 278.91 ,1199.01,26.57,2327.23,50.67
30590,Rome, € 228.18 ,468.49,10.38,1424.95,31.03
30591,Rome, € 173.94 ,200.44,4.44,530.76,11.56
30592,Rome, € 136.07 ,166.55,3.69,467.56,10.18
30593,Rome, € 145.42 ,233.58,5.18,649.57,14.14
30594,Rome, € 299.72 ,181.35,4.02,568.75,12.38
30595,Rome, € 148.69 ,196.38,4.35,564.52,12.29
30596,Rome, € 170.67 ,406.06,9.00,1131.04,24.63
30597,Rome, € 196.15 ,780.70,17.30,1663.49,36.22
30598,Rome, € 455.19 ,1169.18,25.91,1989.00,43.31
30599,Rome, € 157.81 ,292.65,6.49,783.52,17.06
30600,Rome, € 190.07 ,129.37,2.87,359.87,7.84
30601,Rome, € 322.63 ,307.59,6.82,1049.45,22.85
30602,Rome, € 161.55 ,325.88,7.22,994.67,21.66
30603,Rome, € 158.98 ,303.84,6.73,799.26,17.40
30604,Rome, € 138.41 ,346.38,7.68,834.42,18.17
30605,Rome, € 138.41 ,410.26,9.09,927.31,20.19
30606,Rome, € 187.03 ,232.95,5.16,666.00,14.50
30607,Rome, € 150.09 ,211.03,4.68,591.76,12.88
30608,Rome, € 173.01 ,382.39,8.47,976.16,21.25
30609,Rome, € 207.61 ,630.06,13.96,1420.68,30.93
30610,Rome, € 230.52 ,787.72,17.46,2284.20,49.73
30611,Rome, € 786.71 ,682.66,15.13,1548.49,33.71
30612,Rome, € 518.79 ,1389.06,30.78,2463.85,53.64
30613,Rome, € 122.27 ,297.51,6.59,844.45,18.39
30614,Rome, € 226.78 ,784.89,17.39,2342.48,51.00
30615,Rome, € 236.13 ,106.61,2.36,306.42,6.67
30616,Rome, € 253.66 ,686.00,15.20,1851.29,40.31
30617,Rome, € 103.80 ,328.55,7.28,854.95,18.61
30618,Rome, € 150.09 ,621.54,13.77,1539.15,33.51
30619,Rome, € 122.27 ,190.18,4.21,478.26,10.41
30620,Rome, € 207.61 ,115.43,2.56,312.36,6.80
30621,Rome, € 241.04 ,577.81,12.80,1121.73,24.42
30622,Rome, € 181.19 ,241.32,5.35,653.70,14.23
30623,Rome, € 196.15 ,453.88,10.06,1110.27,24.17
30624,Rome, € 230.52 ,793.61,17.59,1669.19,36.34
30625,Rome, € 186.57 ,370.43,8.21,808.39,17.60
30626,Rome, € 103.80 ,221.51,4.91,631.15,13.74
30627,Rome, € 253.90 ,392.17,8.69,1123.59,24.46
30628,Rome, € 167.16 ,323.59,7.17,885.75,19.29
30629,Rome, € 207.61 ,326.55,7.24,972.80,21.18
30630,Rome, € 230.52 ,960.56,21.29,2332.93,50.79
30631,Rome, € 145.42 ,323.09,7.16,702.44,15.29
30632,Rome, € 134.90 ,386.37,8.56,822.06,17.90
30633,Rome, € 371.26 ,939.83,20.83,1979.44,43.10
30634,Rome, € 129.29 ,577.64,12.80,3162.14,68.85
30635,Rome, € 201.53 ,270.89,6.00,756.76,16.48
30636,Rome, € 207.61 ,343.33,7.61,946.08,20.60
30637,Rome, € 115.49 ,123.79,2.74,331.12,7.21
30638,Rome, € 184.46 ,135.59,3.00,411.91,8.97
30639,Rome, € 96.79 ,462.66,10.25,1258.06,27.39
30640,Rome, € 259.28 ,903.95,20.03,1880.79,40.95
30641,Rome, € 201.76 ,831.30,18.42,2367.34,51.54
30642,Rome, € 206.20 ,1087.37,24.10,3285.17,71.53
30643,Rome, € 259.28 ,303.02,6.71,863.70,18.81
30644,Rome, € 288.27 ,488.24,10.82,1252.17,27.26
30645,Rome, € 216.73 ,520.80,11.54,1352.16,29.44
30646,Rome, € 230.52 ,233.75,5.18,610.52,13.29
30647,Rome, € 248.99 ,506.32,11.22,1241.35,27.03
30648,Rome, € 244.78 ,309.74,6.86,785.18,17.10
30649,Rome, € 195.92 ,387.24,8.58,1076.81,23.45
30650,Rome, € 117.60 ,868.12,19.24,1713.58,37.31
30651,Rome, € 140.51 ,486.62,10.78,936.85,20.40
30652,Rome, € 144.02 ,158.98,3.52,401.08,8.73
30653,Rome, € 155.71 ,662.27,14.68,1374.85,29.93
30654,Rome, € 115.49 ,359.92,7.98,773.71,16.85
30655,Rome, € 112.92 ,357.67,7.93,778.39,16.95
30656,Rome, € 242.21 ,182.41,4.04,542.47,11.81
30657,Rome, € 99.13 ,113.29,2.51,370.13,8.06
30658,Rome, € 165.06 ,112.73,2.50,370.64,8.07
30659,Rome, € 138.41 ,150.50,3.34,427.49,9.31
30660,Rome, € 242.44 ,828.65,18.36,2012.42,43.82
30661,Rome, € 392.07 ,812.60,18.01,1864.51,40.60
30662,Rome, € 152.20 ,351.56,7.79,869.23,18.93
30663,Rome, € 507.10 ,873.52,19.36,1997.50,43.49
30664,Rome, € 138.41 ,520.50,11.53,1321.45,28.77
30665,Rome, € 507.10 ,800.13,17.73,2271.78,49.46
30666,Rome, € 219.06 ,606.29,13.44,1571.84,34.22
30667,Rome, € 184.46 ,561.78,12.45,1442.76,31.41
30668,Rome, € 71.54 ,276.05,6.12,702.86,15.30
30669,Rome, € 170.43 ,185.76,4.12,525.54,11.44
30670,Rome, € 131.39 ,472.28,10.47,1076.84,23.45
30671,Rome, € 112.92 ,126.50,2.80,374.82,8.16
30672,Rome, € 274.47 ,560.77,12.43,1406.11,30.62
30673,Rome, € 111.52 ,161.27,3.57,461.08,10.04
30674,Rome, € 222.34 ,893.64,19.80,2508.73,54.62
30675,Rome, € 152.20 ,439.06,9.73,1085.09,23.63
30676,Rome, € 274.47 ,577.29,12.79,2336.80,50.88
30677,Rome, € 357.23 ,577.29,12.79,2336.72,50.88
30678,Rome, € 158.98 ,273.35,6.06,749.04,16.31
30679,Rome, € 150.09 ,169.55,3.76,489.55,10.66
30680,Rome, € 216.73 ,946.44,20.97,2964.25,64.54
30681,Rome, € 147.52 ,388.44,8.61,1052.09,22.91
30682,Rome, € 233.79 ,902.76,20.01,2749.38,59.86
30683,Rome, € 115.49 ,229.29,5.08,683.86,14.89
30684,Rome, € 254.60 ,768.76,17.04,2174.10,47.34
30685,Rome, € 198.26 ,691.71,15.33,1625.91,35.40
30686,Rome, € 184.46 ,336.24,7.45,935.24,20.36
30687,Rome, € 184.46 ,601.41,13.33,2929.22,63.78
30688,Rome, € 189.14 ,236.13,5.23,642.64,13.99
30689,Rome, € 228.42 ,702.41,15.57,1670.22,36.37
30690,Rome, € 209.95 ,162.94,3.61,468.41,10.20
30691,Rome, € 172.77 ,300.20,6.65,826.45,17.99
30692,Rome, € 140.74 ,647.89,14.36,1541.08,33.55
30693,Rome, € 140.74 ,633.57,14.04,1565.59,34.09
30694,Rome, € 140.74 ,633.57,14.04,1565.54,34.09
30695,Rome, € 196.15 ,148.64,3.29,366.13,7.97
30696,Rome, € 76.22 ,449.09,9.95,1044.75,22.75
30697,Rome, € 278.91 ,561.13,12.43,2548.40,55.49
30698,Rome, € 146.35 ,533.76,11.83,1240.50,27.01
30699,Rome, € 285.93 ,287.16,6.36,708.65,15.43
30700,Rome, € 161.55 ,214.02,4.74,526.57,11.46
30701,Rome, € 184.46 ,333.81,7.40,1009.51,21.98
30702,Rome, € 278.91 ,721.22,15.98,1694.31,36.89
30703,Rome, € 518.79 ,778.35,17.25,1717.18,37.39
30704,Rome, € 184.46 ,655.63,14.53,1150.71,25.05
30705,Rome, € 140.74 ,647.89,14.36,1541.07,33.55
30706,Rome, € 140.74 ,633.57,14.04,1565.60,34.09
30707,Rome, € 172.77 ,233.70,5.18,696.73,15.17
30708,Rome, € 184.46 ,165.18,3.66,478.19,10.41
30709,Rome, € 137.00 ,598.48,13.26,1116.89,24.32
30710,Rome, € 334.32 ,798.53,17.70,2217.89,48.29
30711,Rome, € 97.73 ,196.46,4.35,554.28,12.07
30712,Rome, € 144.02 ,218.20,4.84,563.72,12.27
30713,Rome, € 164.82 ,213.41,4.73,607.81,13.23
30714,Rome, € 191.24 ,623.67,13.82,1505.82,32.79
30715,Rome, € 103.80 ,516.77,11.45,936.55,20.39
30716,Rome, € 92.35 ,572.04,12.68,1270.29,27.66
30717,Rome, € 281.49 ,1006.38,22.30,1425.70,31.04
30718,Rome, € 244.31 ,861.23,19.09,1982.56,43.17
30719,Rome, € 152.20 ,245.17,5.43,665.50,14.49
30720,Rome, € 311.18 ,173.18,3.84,495.83,10.80
30721,Rome, € 161.55 ,389.61,8.63,838.22,18.25
30722,Rome, € 213.22 ,270.53,5.99,679.45,14.79
30723,Rome, € 80.66 ,221.71,4.91,534.33,11.63
30724,Rome, € 168.33 ,585.09,12.97,1758.60,38.29
30725,Rome, € 173.01 ,89.07,1.97,250.99,5.46
30726,Rome, € 265.12 ,318.60,7.06,768.92,16.74
30727,Rome, € 126.72 ,188.96,4.19,507.83,11.06
30728,Rome, € 149.86 ,311.98,6.91,864.71,18.83
30729,Rome, € 259.51 ,462.70,10.25,1214.14,26.44
30730,Rome, € 195.92 ,154.13,3.42,378.67,8.24
30731,Rome, € 368.69 ,448.69,9.94,1241.05,27.02
30732,Rome, € 161.55 ,283.06,6.27,728.71,15.87
30733,Rome, € 530.24 ,734.16,16.27,1715.41,37.35
30734,Rome, € 118.77 ,288.87,6.40,731.00,15.92
30735,Rome, € 178.85 ,184.25,4.08,547.16,11.91
30736,Rome, € 138.41 ,601.41,13.33,2929.17,63.78
30737,Rome, € 251.09 ,670.27,14.85,1559.51,33.95
30738,Rome, € 156.87 ,762.45,16.90,2065.32,44.97
30739,Rome, € 276.58 ,762.44,16.90,2065.34,44.97
30740,Rome, € 216.73 ,505.54,11.20,1757.69,38.27
30741,Rome, € 161.55 ,135.29,3.00,364.76,7.94
